Desc,Mile,Elev,Rescaled,Highlight
Old Forge Rd,1107.3,1305,1111.9,
Tagg Run,1112.2,695,1116.8,-
Green Mountain Road (Tagg Run),1112.6,659,1117.2,
PA 34 (Hunter's Run),1113.3,623,1117.9,
Appalachian Trail Rd,1113.5,623,1118.1,
Mt. Holly Springs  PA 17065,1115.6,879,1120.3,
Sheet Iron Roof Rd,1115.8,770,1120.5,
Mountain Rd,1117.0,734,1121.7,
Rocky Ridge,1117.3,944,1122.0,
Whiskey Springs Rd,1118.4,813,1123.1,
Little Dogwood Run,1120.4,862,1125.1,
Alec Kennedy,1120.5,875,1125.2,
White Rocks,1121.5,1049,1126.2,
No Official Name or Unknown,1122.9,528,1127.6,
Leidigh Road (south side only),1123.3,521,1128.0,
Leidigh Dr,1123.4,531,1128.1,
No Official Name or Unknown,1124.1,488,1128.8,
Yellow Breeches Creek,1124.2,469,1128.9,
Fishing Parking Lot,1124.3,475,1129.0,
ATC Mid-Atlantic Office,1124.4,475,1129.1,
Boiling Springs PA,1124.5,479,1129.2,
S Ridge Rd,1124.6,524,1129.3,
State Rte 74,1126.5,544,1131.2,
Lisburn Road,1127.5,511,1132.2,
Boyer Rd,1128.1,518,1132.8,
Lake/pond/tank,1128.2,472,1132.9,
PA 641 (Trindle Road),1128.6,508,1133.3,
Hogestown Run,1129.7,442,1134.4,-
N Old Stonehouse Rd,1130.2,449,1134.9,
Appalachian Dr,1130.9,508,1135.6,
Pennsylvania Tpke,1131.2,465,1135.9,
Harrisburg Pike,1132.4,462,1137.1,
Cumberland,1133.1,423,1137.8,
Bernheisel Bridge Rd,1133.2,433,1137.9,
I-81,1133.3,429,1138.0,
I-81,1133.4,442,1138.1,
Country Club Rd,1133.8,472,1138.5,
Lake/pond/tank,1134.1,413,1138.8,
Conodoguinet Creek,1134.8,377,1139.5,
Sherwood Dr,1136.0,393,1140.7,
Wertzville Rd,1136.9,492,1141.6,
Perry,1138.8,1250,1143.6,
Darlington,1138.9,1223,1143.7,
Millers Gap Rd,1140.8,679,1145.6,
State Rte 850,1141.1,656,1145.9,
Fishing Creek,1141.4,593,1146.2,
Cove Mountain,1144.8,1309,1149.6,
Cove Mountain,1146.3,1240,1151.1,
Perry,1147.9,1108,1152.7,
Hawk Rock,1148.1,1095,1152.9,
No Official Name Or Unknown,1148.9,551,1153.7,
Little Boston Rd,1149.3,354,1154.1,
Sherman Creek Rd,1149.4,351,1154.2,
Mountain St,1149.5,357,1154.3,
Fisher St,1149.6,360,1154.4,
US Hwy 11,1149.7,357,1154.5,
Walnut St,1149.8,347,1154.6,
Apple St,1149.9,354,1154.7,
Plum St,1150.0,364,1154.8,
Jones St,1150.1,367,1154.9,
Chestnut St,1150.2,367,1155.0,
Hickory St,1150.3,367,1155.1,
Clark St,1150.5,360,1155.3,
Martha St,1150.6,370,1155.4,
Rebecca St,1150.7,370,1155.5,
Fritz Ave,1150.9,364,1155.7,
N Market St,1151.1,354,1155.9,-
State Rte 849,1151.2,347,1156.0,
Dauphin,1151.4,337,1156.2,
State Rte 849,1151.5,351,1156.3,
Susquehanna River,1151.7,337,1156.5,
US Hwy 322,1151.9,337,1156.7,
State Rte 147,1152.0,360,1156.8,
Clark's Ferry,1154.7,1207,1159.5,
Jeep Trl,1157.8,1259,1162.6,
PA 225,1158.7,1236,1163.5,-
Appalachian Trl,1159.6,1279,1164.4,
Peters Mountain,1161.7,1171,1166.5,-
Victoria Trl,1163.4,1348,1168.3,
Peters Mountain,1165.1,1309,1170.0,
Appalachian Trl,1168.8,538,1173.7,
Dauphin,1170.8,1410,1175.7,
Rattling Run,1172.8,1469,1177.7,
Lebanon,1175.2,1423,1180.1,
Rausch Gap,1180.5,1013,1185.4,
Rausch Creek,1180.7,902,1185.6,
Old RR Bed,1180.8,902,1185.7,
Stony Creek,1181.2,823,1186.1,
State Rte 443,1184.4,564,1189.3,
Trout Run,1185.0,465,1189.9,
Moonshine Rd,1185.1,482,1190.0,
PA 72 (Swatara State Park),1186.3,524,1191.3,
State Rte 72,1186.5,459,1191.5,
Old State Rd,1186.6,436,1191.6,
Swatara Gap,1186.8,439,1191.8,
I-81,1186.9,475,1191.9,-
Lebanon,1188.6,1354,1193.6,
Schuylkill,1192.6,1499,1197.6,
Berks,1192.7,1492,1197.7,
Appalachian Trl,1193.1,1469,1198.1,
William Penn,1194.1,1407,1199.1,
Appalachian Trl,1194.9,1325,1199.9,
Appalachian Trl,1195.1,1318,1200.1,
Appalachian Trl,1196.0,1348,1201.0,
PA 645,1196.3,1210,1201.3,
PA 501,1198.1,1423,1203.1,
PA 501,1198.4,1443,1203.4,
Pilger Run Rd,1198.7,1430,1203.7,
Schuylkill,1199.1,1437,1204.1,
Berks,1200.1,1381,1205.1,
Lake/pond/tank,1204.0,1190,1209.0,-
PA 183 (south),1207.6,1433,1212.6,
Appalachian Trl,1207.7,1430,1212.7,
Berks,1208.0,1489,1213.0,
Appalachian Trl,1208.1,1496,1213.1,
Appalachian Trl,1213.5,1601,1218.6,
Eagles Nest,1213.6,1587,1218.7,
Schuylkill,1215.1,1476,1220.2,
Berks,1215.2,1492,1220.3,
Stony Creek,1216.0,1345,1221.1,
Appalachian Trl,1216.6,1236,1221.7,
State Game Land Rd,1220.1,1433,1225.2,
Berks,1222.0,1164,1227.1,
Schuylkill,1222.7,383,1227.8,
Little Schuylkill River,1222.8,390,1227.9,
Penn St,1222.9,396,1228.0,-
PA 61,1223.0,393,1228.1,
Schuylkill Gap,1223.2,387,1228.3,
State Rte 61,1223.4,403,1228.5,
Port Clinton PA,1223.5,449,1228.6,
Appalachian Trl,1225.8,1361,1230.9,
Reservoir Rd,1228.7,866,1233.8,
Windsor Furnace,1228.8,826,1233.9,
Windsor Furnace,1228.9,830,1234.0,
Pulpit Rock,1230.5,1535,1235.6,
Reservoir Rd,1230.6,1525,1235.7,
Valley Rim Trl,1230.7,1555,1235.8,
Pinnacle Side Trl,1233.0,1568,1238.1,
Appalachian Trl,1235.4,1400,1240.6,
Eckville,1238.1,698,1243.3,
Berks,1239.1,692,1244.3,
Appalachian Trl,1239.2,721,1244.4,
Appalachian Trl,1240.3,1400,1245.5,
Dans Pulpit,1241.4,1627,1246.6,-
Lehigh,1244.6,1545,1249.8,
Allentown,1245.7,1492,1250.9,
Fort Franklin Rd,1247.7,1354,1252.9,
Schuylkill,1248.1,1410,1253.3,
Lehigh,1249.3,1371,1254.5,
PA 309,1249.9,1358,1255.1,
Appalachian Trl,1250.2,1430,1255.4,
Bears Rocks,1253.4,1522,1258.6,
Carbon,1253.5,1528,1258.7,
Bake Oven Knob Road (west side),1254.8,1430,1260.0,
Bake Oven Knob,1255.2,1591,1260.4,
Bake Oven Knob,1255.8,1384,1261.0,
Carbon,1256.9,1528,1262.1,
Lehigh,1257.9,1328,1263.2,
Lehigh Furnace Gap,1258.1,1322,1263.4,
Ashfield Road (Lehigh Furnace Gap),1258.2,1328,1263.5,-
Pennsylvania Tpke NE Exn,1260.7,1564,1266.0,
Translator Ln,1261.5,1453,1266.8,
George W. Outerbridge,1262.6,1000,1267.9,
Slatington  PA 18080,1263.2,436,1268.5,
State Rte 873,1263.3,423,1268.6,
Northampton,1263.4,370,1268.7,
State Rte 145,1263.6,472,1268.9,
Lehigh Gap East,1263.7,465,1269.0,
Appalachian Trl,1265.6,1459,1270.9,
Appalachian Trl,1266.0,1463,1271.3,
Carbon,1266.1,1459,1271.4,
Appalachian Trl,1266.2,1459,1271.5,
Blue Mountain Drive (Little Gap),1268.5,1112,1273.8,
Danielsville  PA 18038,1268.6,1105,1273.9,
Northampton,1268.8,1223,1274.1,
Monroe,1272.2,1558,1277.5,
Monroe,1272.6,1555,1277.9,
Northampton,1274.1,1561,1279.4,
Smith Gap Vw,1275.9,1548,1281.2,
Leroy A. Smith,1279.3,1473,1284.6,-
Monroe,1280.3,1443,1285.6,
Northampton,1280.5,1423,1285.8,
Wind Gap,1283.9,977,1289.3,
PA 115 (Wind Gap),1284.0,961,1289.4,
Appalacion Trl,1286.1,1564,1291.5,
Packanack Dr,1288.7,1646,1294.1,
Sunset Dr,1288.9,1656,1294.3,
Monroe,1289.7,1610,1295.1,
Northampton,1289.8,1620,1295.2,
The Little Offset,1290.1,1640,1295.5,
S Valley View Dr,1290.3,1574,1295.7,
Christine Ct,1291.2,1561,1296.6,
Eagles Vw,1291.3,1548,1296.7,
Eagles Vw,1291.7,1482,1297.1,
PA 191 (Fox Gap),1292.6,1400,1298.0,
Fox Gap,1292.7,1368,1298.1,
Kirkridge,1293.2,1430,1298.6,
Kittatinny Mountain,1293.4,1525,1298.8,
Totts Gap Rd,1295.0,1272,1300.4,
Totts Gap,1295.1,1272,1300.5,
Appalachian Trl,1296.1,1437,1301.5,
Rim Rd,1297.0,1459,1302.4,
Monroe,1298.0,787,1303.4,
Lake/pond/tank,1298.4,639,1303.8,
Larson Dr,1298.8,528,1304.2,
Lake Rd,1298.9,557,1304.3,
Caledonia Creek,1299.1,488,1304.5,
Delaware Water Gap (Lake Lenape),1299.3,498,1304.7,-
Mountain Rd,1299.4,452,1304.8,
State Rte 611,1299.5,393,1304.9,
Delaware Ave,1299.6,383,1305.0,
Delaware River,1300.1,291,1305.5,
Old Mine Rd,1300.2,328,1305.6,
AT Overflow Parking,1300.8,305,1306.2,
Dunnfield Creek,1300.9,311,1306.3,
I-80,1301.0,301,1306.4,
Dunnfield Creek Natural Area,1301.1,318,1306.5,
Dunnfield Creek,1301.2,328,1306.6,
Viking Trl,1304.4,1348,1309.8,
Sunfish Pond,1305.1,1381,1310.5,
Camp Rd,1310.0,1177,1315.5,
Mohican Outdoor Center (Camp Road),1310.1,1200,1315.6,
Lake/pond/tank,1311.4,1482,1316.9,
Millbrook Rd,1313.3,1246,1318.8,-
Blairstown Road,1313.4,1263,1318.9,
Lake/pond/tank,1313.5,1295,1319.0,
Lake/pond/tank,1313.7,1233,1319.2,
Sussex,1315.1,1476,1320.6,
Blue Mountain Lakes Road,1317.1,1387,1322.6,
Blue Mountain Lakes Road,1317.2,1387,1322.7,
Long Pond Dr,1317.3,1377,1322.8,
Lake/pond/tank,1318.5,1309,1324.0,
Lake/pond/tank,1318.7,1377,1324.2,
Crater Lake,1319.1,1423,1324.6,
Rattlesnake Mountain,1321.9,1479,1327.4,
Brink Road,1324.1,1187,1329.6,
Lake/pond/tank,1327.5,918,1333.0,
Upper North Shore Rd,1327.6,912,1333.1,
Culvers Gap,1327.9,954,1333.4,
Sunrise Mountain Rd,1328.1,941,1333.6,
Fairview Rd,1328.5,1263,1334.0,
Fairview Rd,1329.3,1453,1334.8,
Stony Brook,1330.6,1328,1336.2,
Gren Anderson,1330.7,1328,1336.3,-
Sunrise Mountain,1333.0,1646,1338.6,
Sunrise Mountain Pavilion,1333.2,1584,1338.8,
Crigger Rd,1333.9,1417,1339.5,
Lake/pond/tank,1334.7,1361,1340.3,
Lake/pond/tank,1335.7,1433,1341.3,
Mashipicong,1336.4,1407,1342.0,
Deckertown Turnpike,1336.5,1318,1342.1,
Upper Mountain Rd,1337.6,1407,1343.2,
Rutherford,1339.4,1479,1345.0,
Lake/pond/tank,1341.7,1492,1347.3,
State Rte 23,1341.8,1492,1347.4,
Lake Marcia,1342.8,1686,1348.4,
High Point,1343.3,1351,1348.9,
County Road 519,1344.7,1095,1350.3,
Courtright Rd,1345.5,971,1351.1,
Lake/pond/tank,1345.7,990,1351.3,
Lake/pond/tank,1346.2,908,1351.8,
Lake/pond/tank,1346.6,859,1352.2,
Ferguson Rd,1346.7,869,1352.3,
Gemmer Rd,1347.3,721,1352.9,
Lake/pond/tank,1347.5,708,1353.1,
Goodrich Rd,1348.3,620,1353.9,
Lake/pond/tank,1348.5,666,1354.1,
Goldsmith Rd,1348.8,649,1354.4,-
Goldsmith Ln,1349.2,666,1354.8,
Sussex,1349.4,603,1355.0,
Unionville Rd,1349.6,606,1355.2,
Unionville  NY 10988,1349.9,606,1355.5,
Orange,1350.1,744,1355.7,
Jersey Ave,1350.5,587,1356.1,
Lott Road,1350.6,587,1356.2,
State Rte 284,1351.6,423,1357.2,
Oil City Rd,1352.0,505,1357.6,
State Line Rd,1352.8,400,1358.4,
Wallkill River,1353.0,377,1358.6,
Oil City Rd,1353.3,387,1358.9,
Lake/pond/tank,1354.5,396,1360.2,
Lake Wallkill Rd,1355.3,449,1361.0,
Pochuck Mountain,1355.8,921,1361.5,
Lovemma Ln,1357.8,862,1363.5,
Glenwood Rd,1358.4,711,1364.1,
Lake/pond/tank,1359.2,793,1364.9,
Glenwood  NJ 07418,1359.9,416,1365.6,
Vernon Valley,1360.6,383,1366.3,
Wawayanda Creek,1361.3,403,1367.0,
Canal Rd,1361.4,403,1367.1,
NJ 94 (Annex),1362.3,439,1368.0,
Sussex,1363.8,1250,1369.5,
Barrett Road,1365.3,1115,1371.0,
Double Kill,1366.4,1046,1372.1,
Lake/pond/tank,1366.6,1102,1372.3,
Wawayanda Rd,1367.1,1125,1372.8,
Wawayanda,1367.3,1197,1373.0,-
Parker Lake,1367.5,1102,1373.2,
Warwick Turnpike,1367.8,1154,1373.5,
Passaic,1368.9,1145,1374.6,
Longhouse Drive (Brady Road),1369.1,1128,1374.8,
Longhouse Dr,1369.2,1128,1374.9,
Long House Creek,1370.4,1082,1376.1,
New Jersey,1371.2,1377,1376.9,
Orange,1371.5,1361,1377.2,
Continale,1372.0,1335,1377.7,
Lake/pond/tank,1372.6,1177,1378.3,
Bellvale Mountain,1373.1,1328,1378.8,
Mount Peter,1376.6,1164,1382.3,
NY 17A,1377.0,1141,1382.7,
State Rte 17A,1377.1,1135,1382.8,
Appalachian Trl,1377.6,1210,1383.4,
Appalachian Trl,1379.2,1079,1385.0,
Lakes Road,1380.6,688,1386.4,
Trout Brook,1380.7,636,1386.5,
Lake/pond/tank,1382.2,1246,1388.0,
W Mombasha Rd,1384.0,925,1389.8,
Kloibers Pond,1384.2,977,1390.0,
East Mombasha Road,1385.6,793,1391.4,-
Little Dam Lake,1385.9,715,1391.7,
Southfields  NY 10975,1386.9,784,1392.7,
Orange Tpke,1387.0,774,1392.8,
State Rte 17,1388.7,561,1394.5,-
Ramapo River,1388.8,498,1394.6,
New York State Thruway,1388.9,521,1394.7,
Arden  NY 10910,1389.0,606,1394.8,
Island Pond,1390.5,1020,1396.3,
Island Pond Mountain,1391.2,1302,1397.0,
Lake/pond/tank,1391.5,1059,1397.3,
Surebridge Brook,1392.3,1095,1398.1,
Fingerboard,1393.0,1348,1398.8,
Fingerboard Mountain,1393.1,1371,1398.9,
Orange,1393.3,1325,1399.1,
Arden Valley Rd,1394.1,1190,1399.9,
Seven Lakes Pkwy,1396.3,862,1402.1,-
William Brien Memorial,1398.3,1072,1404.1,
Black Mountain,1399.6,1151,1405.4,
Rockland,1399.7,1158,1405.5,
Stillwater Brook,1400.0,790,1405.8,
Palisades Interstate Pkwy,1400.4,669,1406.2,
Beechy Bottom Brook,1400.6,606,1406.4,
West Mountain,1401.3,1062,1407.1,
Rockland,1401.4,1181,1407.2,
Orange,1402.5,820,1408.4,
Seven Lakes Dr,1403.1,600,1409.0,
Perkins Memorial Dr,1403.7,787,1409.6,
Bear Mountain,1405.2,1286,1411.1,
Bear Mountain,1405.3,1289,1411.2,
Perkins Memorial Dr,1405.5,1200,1411.4,
Perkins Memorial Dr,1405.7,1148,1411.6,
Perkins Memorial Dr,1405.8,980,1411.7,
7 Lakes Dr,1406.1,931,1412.0,
Hessian Lake,1407.2,157,1413.1,
US Rte 202,1407.4,141,1413.3,
Lake/pond/tank,1407.5,124,1413.4,
Fort Montgomery  NY 10922,1407.8,154,1413.7,
Lake/pond/tank,1408.0,6,1413.9,
Westchester,1408.1,-4,1414.0,
Hudson River,1408.2,-4,1414.1,
Lake/pond/tank,1408.3,36,1414.2,
Bear Mountain NY,1408.3,127,1414.2,
Bear Mountain-Beacon Hwy,1408.4,170,1414.3,
NY 9D,1408.5,147,1414.4,
Putnam,1408.6,213,1414.5,
Military Rd,1410.1,472,1416.0,-
Copper Mine Brook,1410.3,439,1416.2,
Lake/pond/tank,1410.4,505,1416.3,
Canada Hill,1411.1,826,1417.0,
Annsville Creek,1413.6,413,1419.5,
Old Highland Tpke,1413.8,469,1419.7,
Graymoor Village,1414.1,547,1420.0,
Old W Point Rd E,1414.2,495,1420.1,
Assisi Ln,1414.3,475,1420.2,
Little Fort Hill,1415.1,764,1421.0,
Denning Hill,1415.9,892,1421.8,
Old Albany Post Rd,1416.9,600,1422.8,
Lake/pond/tank,1417.5,646,1423.4,
Canopus Hill,1417.8,820,1423.7,
Lake/pond/tank,1417.9,787,1423.8,
Canopus Hill Rd,1418.5,406,1424.4,
South Highland Road,1419.5,580,1425.4,
Lake/pond/tank,1420.6,859,1426.5,
Lake/pond/tank,1421.1,958,1427.0,
Dennytown Rd,1422.1,859,1428.0,
Lake/pond/tank,1422.3,820,1428.2,
Sunken Mine Rd,1423.7,780,1429.6,
Canopus Lake,1425.7,908,1431.7,
NY 301,1425.8,948,1431.8,
Canopus Creek,1426.7,1036,1432.7,
Canopus Lake,1427.2,971,1433.2,
Long Hill Road,1430.2,1026,1436.2,
Shenandoah Mountain,1430.6,1007,1436.6,-
RPH,1432.5,351,1438.5,
Hortontown Rd,1432.6,370,1438.6,
Miller Hill Rd,1432.8,508,1438.8,
Rockledge Rd,1432.9,551,1438.9,
Hosner Mountain,1434.5,1059,1440.5,
Hosner Mountain Road,1436.0,544,1442.0,
Hosner Mountain Rd,1436.1,518,1442.1,
Stormville Mountain,1436.7,954,1442.7,
State Rte 52,1437.7,830,1443.7,
Stormville Mountain Road,1438.7,1040,1444.7,
Stormville Mountain Rd,1438.8,987,1444.8,
Grape Hollow Rd,1439.0,958,1445.0,
Morgan Stewart,1441.3,1312,1447.3,
Depot Hill Road,1442.4,1207,1448.4,
Whaley Lake Stream,1444.2,666,1450.2,
Old NY 55,1444.3,672,1450.3,
Old NY 55 (Nuclear Lake),1444.5,738,1450.5,
Poughquag  NY 12570,1444.6,738,1450.6,
NY 55,1444.7,764,1450.7,
Lake/pond/tank,1445.8,754,1451.8,
Nuclear Lake,1446.1,754,1452.1,
Penny Rd,1447.8,1089,1453.8,
Telephone Pioneers,1448.7,941,1454.7,-
County Route 20,1449.2,557,1455.2,
W Dover Rd,1449.3,564,1455.3,
Burton Brook,1449.5,587,1455.6,
Lake/pond/tank,1449.7,587,1455.8,
Dutchess,1451.1,456,1457.2,
Swamp River,1451.3,426,1457.4,
NY 22,1451.6,429,1457.7,
State Rte 55,1451.7,429,1457.8,
Hurds Corner Rd,1451.9,465,1458.0,
Lake/pond/tank,1456.2,826,1462.3,
Leather Hill Rd,1457.0,744,1463.1,
Wiley,1457.4,741,1463.5,
Duell Hollow Road,1457.6,561,1463.7,
Duell Hollow Rd,1457.7,551,1463.8,
Deuel Hollow Brook,1458.0,410,1464.1,
Hoyt Rd,1458.7,406,1464.8,
CT 55,1459.0,439,1465.1,
Connecticut,1459.2,439,1465.3,
State Hwy 55,1459.3,439,1465.4,
Tenmile Hill,1460.6,974,1466.7,
Ten Mile River Lean-to,1461.5,278,1467.6,
Litchfield,1461.7,255,1467.8,
Bulls Bridge Scenic Area,1462.7,416,1468.8,
Bulls Bridge Road,1462.9,364,1469.0,
Schaghticoke Road,1463.2,360,1469.3,
New York,1464.1,1007,1470.2,
Schaghticoke Mountain,1465.0,1259,1471.1,
Thayer Brook,1468.9,902,1475.0,-
Mount Algo,1469.4,1122,1475.5,
Mount Algo Lean-to,1469.9,656,1476.0,
Kent  CT 06757,1470.2,433,1476.3,
Old Barn Rd,1470.3,419,1476.4,
Macedonia Brook,1470.4,360,1476.5,
Glacier Rock,1470.8,757,1476.9,
Choggam Brook,1473.1,711,1479.2,
Skiff Mountain Rd,1473.2,757,1479.3,
Calebs Peak,1474.0,1033,1480.2,
River Rd,1475.1,383,1481.3,
N Kent No 1 Rd,1476.0,416,1482.2,
North Kent Brook,1476.1,377,1482.3,
Stewart Hollow Brook,1477.5,390,1483.7,
Stony Brook,1477.9,396,1484.1,
River Rd,1479.9,413,1486.1,
Dawn Hill Rd,1480.1,508,1486.3,
No Official Name Or Unknown,1481.6,711,1487.8,
Cornwall Bridge  CT 06754,1481.7,698,1487.9,
Guinea Brook,1481.8,656,1488.0,
Old Sharon Rd 2,1481.9,738,1488.1,
No Official Name Or Unknown,1482.3,741,1488.5,
Hatch Brook,1482.9,816,1489.1,
West Cornwall Road,1486.6,839,1492.8,
Downey Rd,1487.6,1079,1493.8,
Pine Swamp Brook Lean-to,1487.7,1082,1493.9,-
Mount Easter Rd,1488.7,1115,1494.9,
Mount Easter,1489.0,1358,1495.2,
Sharon Mountain,1491.6,1368,1497.8,
US 7 & CT 112,1493.7,538,1499.9,
Lime Rock Rd,1494.1,534,1500.3,
Housatonic River,1494.2,531,1500.4,
Warren Tpke Rd,1494.6,564,1500.8,
Warren Tpke,1495.3,557,1501.5,
Falls Village Handicap Accessible Trailhead,1496.2,557,1502.4,
Housatonic River,1496.3,554,1502.5,
Wetauwanchu Brook,1496.7,583,1502.9,
Housatanic River pull-off,1496.8,583,1503.0,
Mount Prospect,1498.8,1459,1505.1,
Limestone Spring Lean-to,1500.0,1227,1506.3,
Raccoon Hill,1500.1,1263,1506.4,
Salmon Creek,1500.9,1013,1507.2,
Canaan Rd,1503.0,675,1509.3,
Salisbury CT,1503.2,669,1509.5,
Cobble Rd,1503.3,672,1509.6,
Lake/pond/tank,1503.7,675,1510.0,
CT 41,1503.9,731,1510.2,-
Bunker Hill Road  (Lion's Head Trailhead),1504.7,1131,1511.0,
Lake/pond/tank,1505.2,1102,1511.5,
Lions Head,1506.2,1722,1512.5,
Connecticut,1506.4,1643,1512.7,
Riga Lean-to,1507.0,1660,1513.3,
Ball Brook,1507.5,1692,1513.8,
Brassie Brook,1508.1,1742,1514.4,
Bear Mountain,1509.5,2319,1515.8,
Berkshire,1510.0,1791,1516.3,
Sages Ravine,1510.3,1528,1516.6,
Bear Rock Stream,1512.1,1666,1518.4,
Mount Race,1513.7,2368,1520.0,
Mount Everett,1515.5,2604,1521.8,
Mount Everett,1515.7,2450,1522.0,
Mount Everett Rd,1516.0,2188,1522.3,
Guilder Pond Picnic Area,1516.1,2083,1522.4,
Guilder Pond,1516.2,2063,1522.5,
The Hemlocks Lean-to,1516.6,1912,1522.9,-
Glen Brook Lean-to,1516.7,1922,1523.0,
Mount Bushnell,1518.3,1833,1524.6,
Guilder Hollow Rd,1520.1,866,1526.4,
N Undermountain Rd,1520.9,800,1527.2,
Hubbard Brook,1522.6,672,1529.0,
Sheffield Road Parking,1522.8,675,1529.2,
Sheffield-Egremont Rd,1522.9,675,1529.3,
West Rd,1524.0,692,1530.4,
Lake/pond/tank,1524.6,666,1531.0,
Great Barrington  MA 01230,1524.7,666,1531.1,
Lake/pond/tank,1524.8,662,1531.2,
Lake/pond/tank,1525.0,656,1531.4,
Lake/pond/tank,1525.2,656,1531.6,
Lake/pond/tank,1525.3,656,1531.7,
Sheffield  MA 01157,1525.5,666,1531.9,
Kellogg Rd,1525.6,675,1532.0,
Boardman St,1526.0,692,1532.4,
June Mountain,1527.3,1217,1533.7,
Homes Road,1527.5,1108,1533.9,
Tom Leonard Lean-to,1531.1,1555,1537.5,-
Lake Buel Road,1532.2,1099,1538.6,
Deerwood Cir,1532.4,1010,1538.8,
Lake/pond/tank,1532.7,944,1539.1,
Monterey  MA 01245,1533.0,1033,1539.4,
MA 23,1533.1,1066,1539.5,
Blue Hill Rd,1534.2,1541,1540.6,
Benedict Pond,1534.8,1607,1541.2,
Mount Wilcox South Lean-to,1536.1,1804,1542.5,
Swann Brook,1537.1,1807,1543.5,
Lake/pond/tank,1537.2,1827,1543.6,
Mount Wilcox North Lean-to,1538.0,2040,1544.4,
East Brook,1538.8,1788,1545.2,
East Brook,1539.1,1706,1545.5,
Fernside/Jerusalem Road,1541.7,1187,1548.1,
Jerusalem Rd,1541.8,1154,1548.2,
Jerusalem Rd,1543.8,1085,1550.2,
Hop Brook,1544.7,915,1551.1,
Tyringham Main Road,1544.8,944,1551.2,
Webster Rd,1546.6,1781,1553.1,
Goose Pond Road (MA),1549.0,1637,1555.5,
Cooper Brook,1549.5,1545,1556.0,
Upper Goose Pond Cabin,1549.9,1712,1556.4,-
Higley Brook,1551.3,1489,1557.8,
Lake/pond/tank,1551.7,1486,1558.2,
Loose Tooth Rd,1551.9,1515,1558.4,
Appalachian Trl,1552.5,1725,1559.0,
Massachusetts Tpke,1553.1,1423,1559.6,
Massachusetts Tpke,1553.2,1417,1559.7,
US 20,1553.4,1358,1559.9,
Jacobs Ladder Rd,1553.5,1368,1560.0,
Becket  MA 01223,1554.3,1791,1560.8,
tyne rd pullover,1554.4,1791,1560.9,
Becket Mountain,1554.9,2171,1561.4,
Walling Mountain,1555.9,2211,1562.4,
Finerty Pond,1556.4,1912,1562.9,
Lake/pond/tank,1558.4,1827,1564.9,
County Rd,1558.8,1856,1565.3,
Bald Top,1559.1,2047,1565.6,
October Mountain Lean-to,1560.7,1906,1567.2,
West Branch Road,1561.3,1916,1567.8,
Lake/pond/tank,1561.4,1925,1567.9,
Pittsfield Road,1562.7,1994,1569.2,
Washington Mountain Rd,1562.8,1994,1569.3,
Cady Brook,1564.8,1794,1571.3,
Blotz Road,1565.6,1850,1572.1,
Warner Hill,1566.4,2053,1572.9,
Tully Mountain,1568.4,2053,1574.9,
Kay Wood Lean-to,1569.5,1794,1576.1,
Grange Hall Rd,1569.8,1617,1576.4,
Barton Brook,1570.0,1515,1576.6,
Day Mountain,1570.6,1778,1577.2,
W Housatonic St,1572.0,1177,1578.6,
Centennial Ave,1572.2,1145,1578.8,
Center Pond,1572.3,1138,1578.9,
State Rte 8,1572.4,1141,1579.0,-
State Rte 9,1572.5,1148,1579.1,
Pleasant St,1572.7,1138,1579.3,
Walker Brook,1572.9,1128,1579.5,
Bridle Rd,1573.5,1164,1580.1,
Gulf Road,1573.6,1174,1580.2,
Hoosic River,1575.8,1883,1582.4,
Lake/pond/tank,1577.5,2014,1584.1,
North Mountain,1577.9,2181,1584.5,
The Cobbles,1579.6,1850,1586.2,
Furnace Hill,1580.7,1023,1587.3,
E Main St,1581.0,958,1587.6,
Railroad St,1581.1,961,1587.7,
State Rte 8,1581.6,987,1588.2,
Outlook Ave,1582.4,1364,1589.0,
Mark Noepel Lean-to,1585.9,2791,1592.5,
Saddle Ball Mountain,1587.3,3175,1593.9,
Greylock Day Use Parking,1588.1,3038,1594.7,
Pecks Brook Lean-to,1588.3,3110,1594.9,
Rockwell Rd,1588.4,3113,1595.0,
Gould Trail Day Use Parking,1588.6,3159,1595.2,
Bascom Lodge,1589.0,3467,1595.6,
Mount Greylock,1589.1,3480,1595.7,
Greylock Summit,1589.2,3444,1595.8,
Thunderbolt Ski Trl,1589.3,3359,1595.9,
Bellow's Pipe Lean-to,1589.9,3034,1596.5,
Mount Fitch,1590.6,3080,1597.2,
Mount Williams,1591.6,2946,1598.2,
Notch Road,1592.3,2342,1598.9,
Notch Rd,1592.4,2316,1599.0,
Wilbur Clearing Lean-to,1592.6,2280,1599.2,-
Pattison Road,1594.4,1007,1601.1,
Phelps Ave,1594.8,744,1601.5,
Catherine St,1595.0,666,1601.7,
Barbour St,1595.2,646,1601.9,
Williamstown  MA 01267,1595.5,626,1602.2,
Massachusetts Ave,1595.7,662,1602.4,
Massachusetts,1597.6,1706,1604.3,
East Mountain,1597.8,1883,1604.5,
Vermont,1599.5,2329,1606.2,
Risky Ranch Rd,1602.0,2122,1608.7,
Seth Warner,1602.3,2204,1609.0,-
County Road,1602.6,2299,1609.3,
Lake/pond/tank,1605.1,2493,1611.8,
Lake/pond/tank,1607.5,2253,1614.2,
